Date,Latitude,Longtitude,vNDVI,VARI,Area
1972-05-23,48.61211,-71.4864,0.16730824,0.25381806,1.6
1972-05-23,48.59862,-71.62179,0.22222506,0.31668887,2.4
1972-05-23,48.21163,-72.22976,0.1258184,0.18809056,0.8
1972-05-25,48.34952,-71.29138,0.10450999,0.15407275,0.2
1972-05-24,48.69814,-72.47275,0.08311899,0.121263035,79.3
1972-05-24,48.33693,-72.12473,0.09148446,0.1390082,0.8
1972-05-24,48.29137,-72.15856,0.12646088,0.18883838,0.8
1972-05-24,48.25899,-72.20272,0.062521406,0.11400169,0.4
1972-05-24,48.29227,-72.13693,0.2643538,0.38726786,1.2
1972-05-25,48.6211,-71.38402,0.22316685,0.32216343,48.5
1972-05-25,49.96163,-74.37892,0.16566484,0.27740672,1.2
1972-05-25,48.63549,-71.54251,0.1259176,0.18433452,0.2
1972-05-25,48.84682,-72.6325,0.19009107,0.28097203,22.6
1972-05-26,48.52608,-71.5426,0.2121856,0.30330718,2.4
1972-05-26,48.54407,-71.14629,0.23361737,0.33085746,0.8
1972-05-25,50.29407,-73.87444,0.08359962,0.18986744,1.2
1972-05-30,49.7563,-74.98608,0.2594889,0.38055414,0.4
1972-05-26,48.42026,-71.14092,-0.019505497,-0.023932135,32.3
1972-05-26,48.92206,-72.65982,0.1316011,0.21777816,53.4
1972-05-26,48.6283,-72.56973,0.11901044,0.17794544,1.2
1972-05-26,49.10312,-72.36859,0.15798736,0.23642471,56.9
1972-05-27,48.44005,-71.31978,0.17717819,0.25688407,2.0
1972-05-28,49.10672,-72.37545,0.27825165,0.42159796,33.7
1972-05-28,49.91846,-74.3054,0.1799791,0.3285894,0.8
1972-05-28,49.34772,-72.31263,0.10048019,0.15353975,951.0
1972-06-11,48.5036,-72.45114,0.25843146,0.38463888,1.2
1972-06-11,48.93735,-72.64613,0.18386196,0.2772716,4.8
1972-06-12,49.86931,-74.37202,0.13097177,0.224134,141.6
1972-06-11,50.38459,-73.8941,0.15397365,0.2400911,0.4
1972-06-20,49.43825,-74.32504,0.26187393,0.53207225,0.2
1972-06-29,51.17566,-73.87363,0.12936793,0.20578025,36.4
1972-06-29,52.3747,-73.12837,0.12541354,0.2902992,1133.1
1972-07-07,50.78777,-71.33049,0.094713524,0.17140333,8.9
1972-07-07,49.381,-72.47099,0.23337503,0.3226519,0.2
1972-07-07,49.86481,-72.88179,0.11310138,0.16985789,12.1
1972-07-07,49.75719,-72.89579,0.24606915,0.35868612,0.1
1972-07-07,49.67566,-71.39165,0.20613372,0.3267102,14.9
1972-07-07,49.17566,-73.29619,0.2730301,0.42181373,0.8
1972-07-07,49.69005,-70.65694,0.23758192,0.38079926,1.2
1972-07-07,50.79946,-74.41524,0.122876056,0.17912012,20.2
1972-07-07,50.83783,-74.38818,0.07069595,0.10759917,50.5
1972-07-07,50.26259,-73.31927,0.084360585,0.12371224,0.8
1972-07-07,50.53148,-72.79372,0.1766644,0.2437628,6.0
1972-07-07,49.54946,-73.89587,0.087540664,0.12686919,2.8
1972-07-07,49.59592,-73.90834,0.20608447,0.30671453,4.8
1972-07-07,49.46703,-74.57088,0.09500637,0.13700697,1.0
1972-07-08,49.26259,-72.05577,0.184175,0.37050653,0.2
1972-07-08,49.60582,-72.53476,0.13317104,0.19325852,0.1
1972-07-07,49.381,-70.63904,0.17068017,0.24998625,1.6
1972-07-08,49.83873,-74.05963,0.20754683,0.29249692,0.8
1972-07-08,50.35132,-74.03964,0.26045984,0.37954924,0.8
1972-07-09,50.1328,-72.79124,0.12847674,0.18197884,30.3
1972-07-09,49.86031,-72.96931,0.117769904,0.18175499,4.8
1972-07-09,49.83603,-73.0,0.12198809,0.18655975,8.0
1972-07-09,50.03507,-74.16247,0.3088828,0.55845827,0.8
1972-07-09,50.18016,-73.2912,0.2339938,0.34212244,0.4
1972-07-09,50.51349,-73.91384,0.060468514,0.09491244,0.4
1972-07-11,49.84412,-71.70816,0.2707345,0.38962227,388.4
1972-07-12,49.95624,-74.30118,0.16747257,0.2907475,1.2
1972-07-12,49.83513,-71.38878,0.09489645,0.14053984,0.4
1972-07-19,49.36211,-70.99862,0.15576349,0.23042075,0.2
1972-07-19,49.77338,-74.89996,0.23264605,0.33261102,0.8
1972-07-25,48.44365,-70.80622,0.16642964,0.24270451,2.4
1972-07-25,48.46793,-71.04671,0.32022133,0.44032988,0.6
1972-07-26,49.03687,-70.62414,0.32107627,0.45127225,1.2
1972-07-27,49.20444,-72.57232,0.2854979,0.41820687,0.1
1972-07-27,49.28238,-71.31127,0.24452096,0.44267356,0.4
1972-07-27,48.70444,-71.72547,0.23189297,0.32351834,0.1
1972-07-28,50.8738,-70.24002,0.14801447,0.23304413,2.0
1972-07-30,49.43645,-72.21543,0.12872593,0.20126869,3.6
1972-07-31,49.04047,-71.82099,0.14851722,0.22861812,0.1
1972-08-02,49.18196,-73.04894,0.23359534,0.3498301,0.1
1972-08-17,50.0027,-74.24021,0.37045312,0.50681114,0.4
1972-08-20,49.93915,-74.1513,0.30367613,0.539226,0.4
1972-08-20,49.77158,-74.45683,0.18678606,0.29279703,0.8
1972-08-21,48.35402,-72.56303,0.18713406,0.29565024,0.1
1972-08-21,49.93016,-74.20809,0.26317126,0.4885535,0.4
1972-08-24,50.02788,-74.2472,0.18010347,0.2794579,0.2
1972-09-09,48.71523,-72.69957,0.049732246,0.07091899,65.5
1972-05-01,45.93196,-76.71121,0.26325896,0.37999836,4.8
1972-05-08,45.8756,-74.73967,0.35687372,0.49404117,2.0
1972-05-09,45.86211,-74.9115,0.36211428,0.54484016,1.6
1972-05-09,45.91936,-77.19958,0.27917475,0.3789325,4.0
1972-05-08,45.78957,-75.61895,0.30037475,0.4451526,0.8
1972-05-08,46.1256,-75.5457,0.43859032,0.6942698,12.9
1972-05-10,46.02158,-76.11875,0.22087082,0.3404583,1.6
1972-05-09,45.95534,-75.61751,0.42329273,0.5093604,1.6
1972-05-09,45.93825,-75.97414,0.1429534,0.22958416,0.8
1972-05-10,45.86211,-76.04976,0.25867698,0.40080243,1.2
1972-05-12,46.21073,-75.90237,0.22066614,0.3249424,2.4
1972-05-12,45.85851,-74.39471,0.49787247,0.81351066,0.8
1972-05-13,46.33513,-74.80338,0.10877893,0.14111178,0.8
1972-05-13,46.1328,-74.78532,0.2841446,0.37190115,4.4
1972-05-13,46.91846,-75.3719,0.44326222,0.6307969,8.0
1972-05-13,45.76709,-76.47808,0.23703727,0.3676332,1.6
1972-05-13,46.29047,-75.91016,0.2563145,0.37422183,0.4
1972-05-13,45.94095,-74.73965,0.3521626,0.48808044,1.2
1972-05-13,46.59592,-74.82025,0.22376588,0.29987317,0.8
1972-05-13,45.93645,-76.73578,0.39902344,0.56024647,1.2
1972-05-12,45.79047,-75.07044,0.27772486,0.3967126,28.3
1972-05-13,45.8747,-75.24742,0.34381115,0.51351166,10.1
1972-05-13,45.94095,-75.82945,0.26588473,0.38826716,3.2
1972-05-12,45.85492,-75.87664,0.29541615,0.44509563,0.8
1972-05-08,45.86931,-75.07171,0.2319345,0.2025002,0.8
1972-05-17,46.36211,-74.91015,0.47218454,0.65735114,1.2
1972-05-19,46.09592,-75.71239,0.37836608,0.5377071,0.8
1972-05-20,47.3837,-77.03552,0.15078089,0.22367279,5.6
1972-05-20,46.60672,-75.9856,0.2453306,0.37327892,8.0
1972-05-20,46.1238,-75.72535,0.30927438,0.38908374,6.0
1972-05-20,45.94724,-77.2293,0.26266724,0.36775288,1.6
1972-05-21,46.43196,-74.83333,0.38402456,0.46745905,0.4
1972-05-22,46.19904,-74.72661,0.16949336,0.21851696,1.2
1972-05-22,45.69275,-75.80115,0.21135695,0.30208653,1.2
1972-05-22,45.8819,-75.86628,0.254158,0.3847672,6.4
1972-05-22,46.53597,-75.05719,0.34573743,0.481301,1.2
1972-05-22,46.08693,-74.32685,0.25153154,0.3786941,0.8
1972-05-22,46.3837,-74.90102,0.44204596,0.59773976,1.2
1972-05-22,45.95084,-73.88304,0.29923263,0.4533556,0.4
1972-05-23,46.3801,-74.87365,0.09587083,0.109776944,2.8
1972-05-23,47.92746,-74.66398,0.22594188,0.37687832,0.8
1972-05-23,45.84233,-75.80881,0.46071196,0.31797543,8.0
1972-05-23,45.95804,-74.56134,0.38079935,0.5424221,2.8
1972-05-23,46.10492,-74.47665,0.20381665,0.22759108,6.4
1972-05-23,45.96433,-75.05616,0.2530319,0.3305085,8.0
1972-05-22,45.66936,-75.98327,0.2790968,0.42601475,0.8
1972-05-23,45.94454,-74.38175,0.23186596,0.3195744,0.8
1972-05-23,45.92566,-74.36754,0.37788776,0.53891134,0.4
1972-05-23,45.78327,-73.61895,0.2789189,0.4184567,8.0
1972-05-22,46.76169,-75.88647,0.31344637,0.48918727,1.2
1972-05-23,45.68196,-74.39221,0.2874102,0.4231895,1.6
1972-05-23,46.86481,-75.32413,0.21733376,0.3068453,0.8
1972-05-24,46.01079,-75.6317,0.33456266,0.46443367,0.4
1972-05-24,45.6283,-75.71785,0.33698043,0.46719274,0.4
1972-05-24,46.34772,-74.15233,0.27468717,0.5808151,1.6
1972-05-24,46.35042,-77.71873,0.29204997,0.4007836,0.4
1972-05-24,45.6238,-74.74228,0.038741797,0.08102115,6.0
1972-05-25,47.04676,-77.32673,0.2639598,0.47340038,2.4
1972-05-25,46.18285,-74.16017,0.2977318,0.4355407,0.4
1972-05-25,46.35222,-75.49739,0.27643797,0.22993463,1.2
1972-05-25,45.77788,-75.88572,0.31533873,0.45790255,2.0
1972-05-25,46.17656,-74.90887,0.2949045,0.43650484,1.6
1972-05-25,45.69275,-75.45623,0.46877754,0.63056064,0.4
1972-05-26,46.01619,-73.73705,0.32446134,0.45913064,0.4
1972-05-26,47.5027,-76.8714,0.2490349,0.3993066,12.1
